"16/17" "17/18" "9/11" "17/20" "X/X" "14/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "10/13" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.202761 0.241363 0.335359 0.288031 0.232172 0.267468 0.256738 0.206091 0.240454 0.184139 0.253943 0.259538 1495.04 1398.54 48.0234 135.158
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "7/9.3" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "10/13" "29/30" "15/19" "14/15" "6/8" "22/25" 0.381502 0.273257 0.28428 0.289332 0.299378 0.343467 0.268739 0.323337 0.316965 0.234855 0.276053 0.303815 1513.04 915.475 58.6452 133.093
"16/17" "17/18" "12/13" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "9/11" "22/23" "X/Y" "10/13" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.482008 0.445411 0.498418 0.469593 0.431701 0.452104 0.504908 0.474943 0.502225 0.42636 0.442701 0.448535 1306.55 86.6464 93.0182 114.135
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/25" "16/18" "15/17" "12/13" "22/23" "X/Y" "10/13" "29/30" "15/19" "14/15" "7/9.3" "22/22" 0.441627 0.476748 0.419759 0.399672 0.416508 0.40074 0.440793 0.453101 0.42879 0.379611 0.486934 0.450517 2332.7 174.198 93.0182 113.232
"16/17" "17/18" "11/12" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "9/13" "22/23" "X/Y" "10/13" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.0710418 0.0738081 0.0373083 0.0973941 0.104946 0.0544848 0.0828184 0.0558567 0.0738157 0.0764338 0.0547222 0.0665589 353.699 3372.2 7.08577 86.3486
"16/17" "17/18" "9/11" "17/22" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "20/23" "X/Y" "10/13" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.406864 0.36912 0.393173 0.450923 0.380329 0.369817 0.412397 0.447588 0.458261 0.414652 0.457614 0.416769 3240.3 499.61 86.4535 120.585
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "15/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "10/13" "29/30" "12/19" "14/15" "7/9.3" "22/25" 0.373781 0.413082 0.337 0.370478 0.359692 0.307785 0.367009 0.332306 0.382182 0.393434 0.403784 0.388296 1208.64 273.818 79.8889 125.278
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/25" "16/18" "15/17" "12/13" "22/23" "X/Y" "10/13" "29/30" "15/19" "14/15" "7/9.3" "22/22" 0.251644 0.174521 0.220171 0.209058 0.240093 0.220163 0.253236 0.247562 0.203978 0.190089 0.250123 0.208812 761.968 1104.91 34.8941 129.425
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.100202 0.128283 0.155143 0.115193 0.163403 0.164057 0.16286 0.157118 0.113345 0.106754 0.159141 0.138168 703.544 2030.65 20.2151 120.855
"16/17" "17/18" "11/12" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "9/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.169634 0.159579 0.217873 0.220494 0.182691 0.236706 0.220925 0.231399 0.266764 0.24886 0.274826 0.217124 336.284 402.645 37.4016 132.252
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "14/15" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "13/15" "7/9.3" "22/25" 0.416098 0.481508 0.464676 0.428926 0.436271 0.448418 0.393328 0.441643 0.440632 0.35841 0.41342 0.43444 495.015 40.2669 90.5107 117.526
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "13/13" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.25968 0.205521 0.229294 0.280468 0.264024 0.200157 0.217613 0.256575 0.257678 0.252501 0.261893 0.249281 336.189 342.06 45.5159 135.061
"17/18" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.385328 0.444843 0.42909 0.379461 0.402229 0.40921 0.362181 0.374362 0.380719 0.37878 0.382795 0.394167 1552.72 371.269 82.3964 126.106
"16/17" "17/18" "9/11" "17/22" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "20/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.0979957 0.0935599 0.103312 0.133676 0.142272 0.130239 0.135141 0.2246 0.123352 0.0844441 0.128786 0.106508 737.848 3216.81 13.6504 107.123
"16/17" "15/17" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "18/18" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.341297 0.406914 0.37769 0.317279 0.390152 0.312534 0.335306 0.381579 0.376005 0.352467 0.328078 0.346529 651.251 259.999 69.2671 129.736
"16/17" "17/18" "11/13" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "9/12" "22/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.11905 0.106837 0.0545167 0.0918222 0.100159 0.0995019 0.0551245 0.0934087 0.146392 0.0556778 0.0655798 0.0848185 117.165 721.686 9.59324 93.72
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/15" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "13/14" "29/30" "17/19" "14/15" "7/9.3" "22/25" 0.0351819 0.0272363 0.0545196 0.063953 0.0315381 0.0201295 0.0467849 0.029739 0.043556 0.0550302 0.0764693 0.0446008 25.5819 400.249 5.53606 98.1675
"16/17" "17/18" "9/11" "17/23" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "20/22" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.150451 0.106236 0.170593 0.178808 0.187711 0.148946 0.201088 0.114807 0.137405 0.182805 0.134153 0.162624 1044.11 2456.73 24.2723 120.833
"17/18" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/16" "15/17" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.174387 0.165032 0.130405 0.109 0.101935 0.15299 0.076765 0.158247 0.222391 0.128227 0.109621 0.126709 631.554 2152.76 17.7076 116.151
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/9.3" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/8" "22/25" 0.148458 0.12911 0.14791 0.114578 0.208816 0.1478 0.257624 0.19712 0.14676 0.168885 0.206934 0.158298 496.177 1176.37 24.2723 124.743
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "29/29" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.438376 0.435218 0.51571 0.447485 0.440472 0.427797 0.467526 0.452821 0.532301 0.437479 0.541923 0.473393 3642.19 59.222 97.0754 107.875
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/19" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/17" "14/15" "7/9.3" "22/25" 0.482927 0.515929 0.470303 0.46314 0.4588 0.478529 0.461202 0.433974 0.404232 0.360845 0.467616 0.432137 2986.57 330.886 90.5107 118.624
"17/18" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/17" "15/17" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.474916 0.442902 0.441794 0.460836 0.396624 0.500507 0.397377 0.450283 0.464347 0.529955 0.44234 0.464374 1292.78 55.3752 95.5257 110.029
"16/18" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "17/18" "15/17" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.221756 0.275406 0.217368 0.278267 0.262955 0.255724 0.207179 0.249588 0.19522 0.278049 0.259355 0.223225 415.14 478.391 39.909 136.395
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "14/15" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "13/13" "7/9.3" "22/25" 0.0292852 0.0372724 0.0864291 0.062583 0.0206531 0.0276061 0.0409479 0.0720145 0.016705 0.0379056 0.0258294 0.0396251 106.56 2750.03 5.53606 110.939
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.381282 0.357521 0.389164 0.357773 0.297368 0.359415 0.374616 0.421845 0.335028 0.379932 0.378173 0.378908 951.233 277.678 78.3392 127.772
"16/17" "17/18" "9/11" "17/20" "X/Y" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.187502 0.131225 0.233345 0.21349 0.167663 0.160408 0.220857 0.181288 0.18207 0.198273 0.179379 0.187917 413.206 678.005 30.8369 129.94
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "10/13" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.434643 0.35977 0.434303 0.365775 0.392168 0.463879 0.363616 0.378602 0.336668 0.41135 0.3743 0.38022 3120.45 825.246 78.3392 127.067
"16/17" "17/18" "9/11" "17/20" "X/Y" "10/14" "30/30" "12/17" "13/14" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/X" "13/14" "29/30" "15/19" "14/15" "7/9.3" "22/25" 0.318558 0.333265 0.352245 0.348919 0.354396 0.342709 0.390507 0.343785 0.356469 0.382476 0.403702 0.377127 955.409 249.503 78.3392 128.735
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "13/14" "6/9.3" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "14/15" "7/8" "22/25" 0.222864 0.20459 0.170543 0.177754 0.23531 0.177305 0.209449 0.192363 0.19705 0.238035 0.216455 0.220857 717.764 991.379 39.909 138.264
"16/17" "17/18" "9/11" "17/20" "X/X" "10/14" "30/30" "12/17" "14/15" "6/8" "20/20" "16/18" "15/17" "12/13" "22/23" "X/Y" "13/14" "29/30" "15/19" "13/14" "7/9.3" "22/25" 0.114801 0.192235 0.158178 0.13079 0.218261 0.143427 0.208972 0.135333 0.146524 0.140741 0.203045 0.158289 1087.04 2428.04 24.2723 124.751
