14,165
15,829
17,127
0,0
14,470
15,687
16,97
0,0
10,73
11,93
12,315
14,235
17,80
19,221
20,235
0,0
X,647
Y,658
0,0
0,0
11,746
13,527
14,102
0,0
30,668
0,0
0,0
0,0
12,77
14,226
15,249
16,60
12,121
13.2,133
14,302
15,278
9.3,325
0,0
0,0
0,0
20,53
22,52
24,291
0,0
